'1274386869829197826','don t let our PM see this in case he thinks it s a challenge for him to try to beat it','','','Neutral'
'1274387698799636480','RESUS If you think wearing a mask cuts off your oxygen just wait until you find out what COVID does','Murrieta, CA','','Neutral'
'1274387698879471617','A little wake up call for all of you not wearing masks My cousin checked into the hospital Tuesday morning for body a','Ur mom','','Negative'
'1274387698745303040','andyjoy Global Platform Madam Swiss OK','Monaco','','Positive'
'1274387698883727362','Sources close to Trump say they re going through with the Tulsa rally because he s been in a funk lately amp it will cheer h','New Orleans, LA','','Negative'
'1274387699051397130','Good morning and happy Saturday to everyone except Bill Gates Reopening the economy Employers can t require COVID 19 antib','','','Positive'
'1274387698908672000','Everybody who was laughing at can apologize now Looking at you','','','Neutral'
'1274387699189702656','The thing which is HILARIOUS about Democrat claims that COVID 19 cases are spiking is that we ALL know there are 10 s o','','','Positive'
'1274387699168935936','Why Temperature Screening for COVID 19 Alone is Not Enough','','','Neutral'
'1274387699303092226','U S coronavirus deaths likely to top 120 000 today','New Orleans, LA','','Positive'
'1274387699408023555','BREAKING 35 of Americans are still idiots We really need to up our educational game','','','Negative'
'1274387699508510724','Connecticut started out as a COVID hot spot So we closed everything and kept it closed We created a culture of mas','Buckeye, AZ','','Positive'
'1274387699626061824','People be talking like coronavirus is just gonna disappear at random and that s not the case from what they know so far t','','','Negative'
'1274387699672051712','ym Please Retweet Share Any help will be appreciated','Canada','','Positive'
'1274387699768721408','At least two Buccaneers players now have tested positive for COVID 19 per sources Earlier this week one Buccaneers co','','','Negative'
'1274387699856576515','I ve posted about this before but we don t talk enough about the people most responsible for the spread of COVID 19 gl','she/her bi 18','','Positive'
'1274387699839844352','Brazil has become the second country in the world to confirm more than one million cases of Covid 19 as the disease cont','','','Positive'
'1274387699970031623','This COVID patients need proper care and attention Isolation doesn t mean you can t go near them with protection','Lahore','','Negative'
'1274387699991011330','You have to really hate America to be throwing a coronavirus rally in the middle of a pandemic Raise your hand if you agree','Atlanta, GA','','Negative'
'1274387701484183553','We re months into this pandemic and still don t have proper testing PPE or clear nationwide guidance Instead Donald Trump','','','Positive'
'1274387701551321090','I can t believe people are still arguing about wearing masks My mother died of COVID last Sunday My father is going to fo','Pembroke Pines, FL','','Neutral'
'1274387701542744065','It feels like the media and politicians turn COVID 19 on or off depending on what s expedient at the moment','','','Neutral'
'1274387701622595585','As we all get ready to face the world again or at least the outdoors it s time to think about our post lockdown summer be','Central Milton Keynes','','Negative'
'1274387701786046464','In partnership with and sent a shipment of medical supplies to the Ministry','HillaryVillage, CA','','Neutral'
'1274387702000033793','I can t believe people are still arguing about wearing masks My mother died of COVID last Sunday My father is going to fo','Burbank, CA','','Neutral'
'1274387702108962816','A Superintendent of police told me that there were 4 new COVID cases from his district But to his surprise it dint','','','Positive'
'1274387702272663553','Acevedo The Governor of Florida calling essential workers sardines and blaming them for the spike in cases in his state is','United States','','Neutral'
'1274387702331453442','Don t worry It s all cool we re in lockdown and will have loads of time to put a bit of filler in it','South East, England','','Positive'
'1274387702461366272','Have realised that one of the worst things about lockdown is that there is no opportunity to show off','London','{''id'': ''1577f4760b8bb0b3'', ''url'': ''https://api.twitter.com/1.1/geo/id/1577f4760b8bb0b3.json'', ''place_type'': ''city'', ''name'': ''Borehamwood'', ''full_name'': ''Borehamwood, East'', ''country_code'': ''GB'', ''country'': ''United Kingdom'', ''bounding_box'': {''type'': ''Polygon'', ''coordinates'': [[[-0.297848, 51.640831], [-0.297848, 51.682412], [-0.249317, 51.682412], [-0.249317, 51.640831]]]}, ''attributes'': {}}','Negative'
'1274387702364794880','Keep retweeting this','Denver, CO','','Neutral'
'1274387702507503623','Hitchbot though I doubt he ll EVER come back to philly','PHILLY!!!!!','{''id'': ''e4a0d228eb6be76b'', ''url'': ''https://api.twitter.com/1.1/geo/id/e4a0d228eb6be76b.json'', ''place_type'': ''city'', ''name'': ''Philadelphia'', ''full_name'': ''Philadelphia, PA'', ''country_code'': ''US'', ''country'': ''United States'', ''bounding_box'': {''type'': ''Polygon'', ''coordinates'': [[[-75.280284, 39.871811], [-75.280284, 40.13792], [-74.955712, 40.13792], [-74.955712, 39.871811]]]}, ''attributes'': {}}','Neutral'
'1274387702540984321','Donald Trump s failure to fight the coronavirus with the same energy and focus that he uses to troll his enemies on Twitter h','Colorado, USA','','Negative'
'1274387702520049664','My best wishes to First President of Kazakhstan Elbasy Nursultan Nazarbayev for early recovery and good health We stand','India','','Positive'
'1274387702419468289','Ah come on if even one case results in actual sickness requiring even minor treatment it ll be a statistical an','The prettiest place on Earth','','Negative'
'1274387702604091393','Four states report record highs in coronavirus cases Florida and Arizona hit hard','Tennessee, USA','','Negative'
'1274387702696247297','Fuck covid for keeping me away from my mx boys','Joohyuks heart','','Negative'
'1274387702780063744','Trump rallygoer sans mask We had a friend who died from Covid and his son was on a ventilator he almost died So we know','','','Neutral'
'1274387702692151298','Please close the border to Americans before the whole country becomes endangered','Texas, USA','','Positive'
'1274387702725718016','women with bob the builder type husbands are really living','','','Positive'
'1274387702771843072','Covid aside they don t look healthy seems like a bad idea','','','Negative'
'1274387703044415490','My son just got hit by a car riding his bike on the street He s OK but Wifey is in the hospital with him now Broken fin','','','Positive'
'1274387703216386050','It bears repeating 28 of Florida s cases have come in the past 10 days','Auburn, AL','','Negative'
'1274387703371620354','The stigma around Covid 19 patients MUST end It is downright criminal for a health facility like National Hospital to','','','Negative'
'1274387703530950656','The horse is already out of the barn Spanky Bolton s book points out your criminality your stupidity a','','','Negative'
'1274387703518420998','If you have attended a large gathering in the past two weeks you can get a COVID 19 test for free More info below','Massachusetts, USA','','Positive'
'1274387703723933696','Like a second plague Coronapalooza TrumpOwnsEveryDeath TrumpsCoronavirusRally coronavirus','Metro DC & FL','','Neutral'
'1274387704101273605','Isi friends want war mumbai ats diverted for Hinduterror isi used it for carnage killed 200 injured 300','','','Negative'
'1274387704336261121','How many school bathrooms have toilet lids','Chicago, IL','','Positive'
'1274387704495722496','Congratulations to Covid 19 on the big win in Tulsa today','Wyandotte, MI','','Positive'
'1274387704621551616','If she don t care about covid 19 then why is she wearing a mask to protect herself from it','Rhondda  Wales  .','','Neutral'
'1274387704671698944','since a lot of people seem to forget we re under a pandemic and aren t wearing masks','Los Angeles, CA','','Neutral'
'1274387705594613763','Enraged Italians Abandon Masks Denounce Pandemic As Scam Masks','Miami','','Neutral'
'1274387705623969792','A little wake up call for all of you not wearing masks My cousin checked into the hospital Tuesday morning for body a','','','Negative'
'1274387705586044928','That smile when you succeed saving 31 million people thank you so much frontliners doctors and every party that took p','','','Positive'
'1274387705846280192','Live look at everybody who swears the pandemic is over and masks don t matter','ÜT: 35.600384,-77.33833','','Positive'
'1274387705833467906','arey sonakshi hai wo jisne twitter account deactivate kiya hai sonam kapoor nahi','','','Neutral'
'1274387705900613635','I can t believe people are still arguing about wearing masks My mother died of COVID last Sunday My father is going to fo','Raleigh, NC','','Neutral'
'1274387705946951682','I can t believe people are still arguing about wearing masks My mother died of COVID last Sunday My father is going to fo','United Kingdom','','Neutral'
'1274387705959350272','TNIE Yadgir district update of covid 19 cases as on June 20 No positive cases were reported after many days from Yadgir d','Bengaluru, India','','Positive'
'1274387706014044161','O famoso exame do covid','027','','Neutral'
'1274387705997205504','A Trust s QualiSig project has received 60 000 euros of Austrian government funding to provide secure','Europe','','Positive'
'1274387706328633344','I can t believe people are still arguing about wearing masks My mother died of COVID last Sunday My father is going to fo','Elle / She','','Neutral'
'1274387706542514180','Trump rallygoer sans mask We had a friend who died from Covid and his son was on a ventilator he almost died So we know','Georgia, USA','','Neutral'
'1274387706110410755','Then Rowdy Tellez might actually pay his rent','Leafs Nation','','Neutral'
'1274387706697703429','Trump rallygoer sans mask We had a friend who died from Covid and his son was on a ventilator he almost died So we know','United Kingdom','','Neutral'
'1274387706873884672','Pandemic shmandemic Cult of stupids','','','Neutral'
'1274387706882265088','CULT 45','Rochester, NY','','Neutral'
'1274387707159068678','Trump rallygoer sans mask We had a friend who died from Covid and his son was on a ventilator he almost died So we know','Grand Prairie, TX','','Neutral'
'1274387707095965696','Stating the obvious the pandemic reshaped the transfer market and changed the course of some potentially big moves That','Newport Beach, CA','','Neutral'
'1274387707326631937','FUCKING STOP BONDING amp GOING OUT WITH YOUR FRIENDS WHILE WE RE STILL IN A PANDEMIC amp A GLOBAL HEALTH CRISIS PUTANGINA W','','','Negative'
'1274387707532390403','The Trump Administration paid millions for test tubes and got unusable mini soda bottles The plastic tubes supplied fo','United Kingdom','','Neutral'
'1274387707570130944','Guysss my dad has a business of electronics items and all house hold items juicer blenders food factories AC LEDs Etc','khi/isb','','Neutral'
'1274387707632840706','NEW National Institutes of Health abruptly halts its clinical trial of hydroxychloroquine for use against coro','Nowhere','','Positive'
'1274387707758735360','I can t believe people are still arguing about wearing masks My mother died of COVID last Sunday My father is going to fo','Omaha, NE','','Neutral'
'1274387707708481536','We abandoned national testing We abandoned contact tracing We have made not wearing a mask a symbol of freedom World renow','','','Neutral'
'1274387707985301504','You have to really hate America to be throwing a coronavirus rally in the middle of a pandemic Raise your hand if you agree','New York, NY','','Negative'
'1274387708064993283','BREAKING I fucking give up','','','Negative'
'1274387708220076034','Did you hear the joke about covid 19 Nevermind you probably won t get it','','','Neutral'
'1274387708169850882','Y M JTyers NQTs','','','Neutral'
'1274387708190896130','I ordered my gf a bracelet from a company called Ring Concierge They said orders were backed up 8 10 weeks because of C','','','Neutral'
'1274387710153764865','The home environment has also contributed to high pregnancy among teenage girls especially this COVID 19 peri','','','Positive'
'1274387710220926976','At least two Buccaneers players now have tested positive for COVID 19 per sources Earlier this week one Buccaneers co','Toronto, Ontario','','Negative'
'1274387710220939264','since a lot of people seem to forget we re under a pandemic and aren t wearing masks','','','Neutral'
'1274387710317395968','Covidiots To Celebrate Massive Spike In Coronavirus Cases With No Mask Day Today','','','Neutral'
'1274387710225113089','Through their Care2Change campaign is distributing groceries and other basic necessities in communities','Chicago, IL','','Negative'
'1274387710463995904','A Superintendent of police told me that there were 4 new COVID cases from his district But to his surprise it dint','Hyderabad, India','','Positive'
'1274387710388494336','uae GoI Most illogical and irrational What does domestic flights have to do with opening','','','Positive'
'1274387710581649408','Borghini Yeah Hopefully covid doesn t stick around for much longer','Northern Ireland','','Positive'
'1274387710615175170','Brazil with well over 50 000 new coronavirus cases today over 1m cases total By far the highest single day count of any c','Belem, Pará, Brazil','','Positive'
'1274387711193833472','Wearing a mask during a pandemic is not political Not wearing one is','California (o/18 :-)','','Neutral'
'1274387711147859969','Natural selection Trust the process','Indianapolis, IN','','Positive'
'1274387711294681090','Gracias big boss','Santiago, Chile','','Neutral'
'1274387711487545346','What we can learn from U S sentiment about the coronavirus to help stop a second wave','Panama','','Neutral'
'1274387711554551808','I ve posted about this before but we don t talk enough about the people most responsible for the spread of COVID 19 gl','','','Positive'
'1274387711701508096','The pandemic burned this house to the ground for us Now we have to build it back up To do it the same way as before woul','everywhere','','Neutral'
'1274387711709728768','Mumbai pls guide and help one of my close friends has Covid and is admitted in Lilavati and needs Remdesivir urgently Ho','New Delhi','','Neutral'
'1274387711906865153','More people died in BC in may of drug overdose than all BC covid deaths to date compassion legalizedrugs','Vancouver','','Positive'
'1274387710912987139','Spent the last week producing a great lockdown track and video for and their version of','Liverpool, England','{''id'': ''12f69ad404352073'', ''url'': ''https://api.twitter.com/1.1/geo/id/12f69ad404352073.json'', ''place_type'': ''city'', ''name'': ''Garston'', ''full_name'': ''Garston, England'', ''country_code'': ''GB'', ''country'': ''United Kingdom'', ''bounding_box'': {''type'': ''Polygon'', ''coordinates'': [[[-2.940659, 53.331287], [-2.940659, 53.38523], [-2.818002, 53.38523], [-2.818002, 53.331287]]]}, ''attributes'': {}}','Positive'
'1274387712016093184','The East African Community is as good as dead Ethiopia Sudan and Somalia you can understand but Tanzania voting for Dji','Nairobi, Kenya.','','Positive'
'1274387711999254529','Kutuh I thought I survived the pandemic but I got infected with something worse called Arsenal','Nigeria, Port Harcourt ','','Negative'
'1274387712129277961','We ve now entered the wearing a diaper to own the libs part of real life','Centralia, PA','','Positive'
'1274387712116654080','','Hamilton,Ontario,Canada','','Neutral'
'1274387712150319105','Welcome to florida home of coronavirus FloridaCovidEpicenter','Florida','','Positive'
'1274387712087330816','We abandoned national testing We abandoned contact tracing We have made not wearing a mask a symbol of freedom World renow','icon by @oschonstorch','','Neutral'
'1274387712322215936','We are fucked','','','Negative'
'1274387712267575299','Has ANY city county or state hired contact tracers in this country If you know a place this is ALREADY happening','','','Neutral'
'1274387712439734273','As we celebrate Juneteenth consider that Black Americans support Medicare for All more than any other racial group and a','','','Positive'
'1274387712238407682','and our healthcare professionals in Baltimore will lead by example','','','Neutral'
'1274387712410185728','madhumita 081 Hadd h sab over kr ab lockdown is also over abhi toh','India','','Neutral'
'1274387712355827712','I can t believe people are still arguing about wearing masks My mother died of COVID last Sunday My father is going to fo','','','Neutral'
'1274387714025181184','Honduran President Juan Orlando Hern ndez says he has Covid 19 But many Hondurans including an ex president don','','','Positive'
'1274387714113142784','You think covid left ummmm lord help you','NYC','','Neutral'
'1274387714222157830','Donald Trump s failure to fight the coronavirus with the same energy and focus that he uses to troll his enemies on Twitter h','Washington State','','Negative'
'1274387714452963333','Trump s claimed she d never lie to us We knew better She lied lied and LIED some more just like her','Minneapolis, MN','','Positive'
'1274387714754908160','the dragon Yup Tulsa will see a rise in COVID two weeks from now','','','Neutral'
'1274387714540961792','The delusion We know it s real and it definitely kills people that we ve known personally but we don t really kn','St. Louis, MO','','Positive'
'1274387714880741377','It flashes and beeps if you get closer than 1 5 metres Do you have an innovation that could help fight COVID 19 Join the COVID','Los Angeles, CA','','Neutral'
'1274387715048398848','If you don t wear a seatbelt you re at greater risk of dying If you don t wear a mask during a pandemic you re at gre','Decentraland','','Positive'
'1274387715128246273','Trump rallygoer sans mask We had a friend who died from Covid and his son was on a ventilator he almost died So we know','https://anchor.fm/tape-measure','','Neutral'
'1274387715178414085','Echo4 GOOD NEWS EVERYONE Mike from SOA has just confirmed that the popsicles are still in production I really hoped I was wrong b','fifty minutes away from hell','','Positive'
'1274387715161763840','Trump rallygoer sans mask We had a friend who died from Covid and his son was on a ventilator he almost died So we know','Atlanta/Stone Mountain, GA','','Neutral'
'1274387715228917761','It feels like the media and politicians turn COVID 19 on or off depending on what s expedient at the moment','Oklahoma City, OK','','Neutral'
'1274387715249917953','Schreib Sneaky Cyril tells Parliament he will take a raincheck in reply to s simple question how many ANC counci','Durban, South Africa','','Positive'
'1274387715472138242','Please Anonymous use your skills to find us the truth about COVID and cure it for us The experts ar','Austin, TX','','Neutral'
'1274387715866472448','At least two Buccaneers players now have tested positive for COVID 19 per sources Earlier this week one Buccaneers co','716','','Negative'
'1274387715937599489','Looks like Barr created a mess that will distract from Trump s coronavirus festival in Tulsa tomorrow','','','Negative'
'1274387715815911425','This is how you can effectively communicate the truth about COVID 19 cure and prevention and get by the Twitter gestapo c','United States','','Positive'
'1274387715803545601','If a friend of yours literally dying from the virus isn t enough to convince you it s a thing I m not sure there s anything t','','','Negative'
'1274387716013207554','The fatality rate for people in their 20s and 30s without underlying health conditions is about 0 1 Sounds pretty','','','Positive'
'1274387716143226882','I need everyones help so I have my 8th grad graduation on June 24th and due to covid it has to be online I was thi','','','Negative'
'1274387716302614530','BREAKING Another Florida record day Added 4049 new COVID 19 cases overnight 12 36 positivity rate','','','Positive'
'1274387715316781056','Fact COVID19 101 CoronaVirus 101 If u are in a rally or a party If u don t wear a mask or practice','Mill Valley, CA','','Neutral'
'1274387716294279170','Greta Thunberg says the world needs to learn the lessons of coronavirus and treat climate change with similar urgency T','West Sussex','','Neutral'
'1274387716218683392','TrumpsCoronavirusRally is going to make people sick','San Antonio','','Negative'
'1274387716449468418','But that guy s diaper said everything was fine tho','Long Beach, NY','','Positive'
'1274387716667371520','We call Florida Heaven s Waiting Room That was supposed to be a joke but Florida Man had other ideas Hold my beer https','United States','','Negative'
'1274387716763906048','CNN MELTDOWN Jim Acosta Says Protests Fine During Pandemic Because They re Against Racism','','','Positive'
'1274387716910673922','NEW TIMELY RESOURCE FROM THE NGA Glass for Personal Protective Barriers In response to this growing market in midst of th','Los Angeles, CA','','Positive'
'1274387716831162368','RESUS If you think wearing a mask cuts off your oxygen just wait until you find out what COVID does','Florida, USA','','Neutral'
'1274387716868890625','A little wake up call for all of you not wearing masks My cousin checked into the hospital Tuesday morning for body a','Montréal, Québec','','Negative'
'1274387718269743104','I can t believe people are still arguing about wearing masks My mother died of COVID last Sunday My father is going to fo','28/chicago/fe3h&acnh/','','Neutral'
'1274387718328455171','Arterta survived Coronavirus just for Arsenal to kill him','Kaduna ','','Neutral'
'1274387718529708033','More bad news for Florida under Governor who refuses to slow the reopening of the state Florida coronavir','','','Negative'
'1274387718462636034','And I say well actually a coworkers father just died from covid last week','Texas, USA','','Neutral'
'1274387718601146377','You have to really hate America to be throwing a coronavirus rally in the middle of a pandemic Raise your hand if you agree','United States','','Negative'
'1274387718655672323','Oh such vitriol','PERTH, SCOTLAND','','Neutral'
'1274387718672449537','The latest updates of Covid 19 Yemen 06 20 2020 Register 3 new cases and 3 deaths from old cases','Yemen','','Positive'
'1274387718982840320','Wow A nursing home in Baltimore oldest African American one did not lose a single person to COVID because as soon as they','Baltimore, MD','','Positive'
'1274387719142039554','We re months into this pandemic and still don t have proper testing PPE or clear nationwide guidance Instead Donald Trump','Iowa','','Positive'
'1274387719423172608','Please share this to anyone who may have had Covid you could save lives','United Kingdom','','Neutral'
'1274387719464947712','Exactly and that is what is being found out about COVID Oh and BTW smallpox wa','Highlands Ranch, CO','','Positive'
'1274387719578365954','Dems 2016 Cheating FAIL Stormy Daniels FAIL Mueller Investigation FAIL Impeachment FAIL Coronavirus FAIL R','','','Negative'
'1274387720089907202','RESUS If you think wearing a mask cuts off your oxygen just wait until you find out what COVID does','','','Neutral'
'1274387720165625858','If I get covid from someone who attended the rally can I sue trump campaign I didn t sign a waiver','','','Neutral'
'1274387720106803201','Rizvii If illitetrate person criticises its ok but if educated ppl like you criticises economy in this','home','','Positive'
'1274387720287076355','I hate to do this but I am left with no choice as I am really struggling financially right now It s been over 2 mos since','','','Negative'
'1274387720509337601','TNIE Koppal district update of covid 19 cases as on June 20 No positive cases were reported and none were cured today To','Bengaluru, India','','Negative'
'1274387720488574976','The crazy thing about the pandemic is all the people that would ve died in accidents etc if there was no lockdown','South Wales','','Negative'
'1274387720622813189','Lee 1 Come on come all TrumpsCoronavirusRally make sure you sign the disclosure before you enter and spread COVID to the commun','Lexington, KY','','Positive'
'1274387720769601538','He doesn t need to Have a look at this article it explains a lot','London, England','','Neutral'
'1274387720828104704','I can t believe people are still arguing about wearing masks My mother died of COVID last Sunday My father is going to fo','Arizona','','Neutral'
'1274387721096593409','We re months into this pandemic and still don t have proper testing PPE or clear nationwide guidance Instead Donald Trump','SF Bay Area','','Positive'
'1274387721226772480','Okay You found a correlation between 4 countries and you assume that it by itself explain the cor','Québec','','Positive'
'1274387721310679043','A little wake up call for all of you not wearing masks My cousin checked into the hospital Tuesday morning for body a','North Carolina, USA','','Negative'
'1274387721352437761','I can t believe people are still arguing about wearing masks My mother died of COVID last Sunday My father is going to fo','','','Neutral'
'1274387721297903623','I have no words to describe how stupid this man is','The Deep State','','Negative'
'1274387721411149824','FUCKING STOP BONDING amp GOING OUT WITH YOUR FRIENDS WHILE WE RE STILL IN A PANDEMIC amp A GLOBAL HEALTH CRISIS PUTANGINA W','. ','','Negative'
'1274387721595781122','Can we talk about the woman sitting on the right side just wiping her nose with her whole ass fucking arm god the','Dallas, TX','','Negative'
'1274387721876799495','San kaya dumadaan ang mga meds na yan all these underground clinics also for covid 19 meaning there are C','Manila','','Neutral'
'1274387722015174661','31 630 new cases of COVID19 reported yesterday in the US The pandemic is reaching daily records of new cases in places like','New York, NY','','Positive'
'1274387721977389056','BREAKING Dr Fauci and Dr Birx both advised Trump against holding his coronavirus rally tomorrow His own advisors What a tr','California, USA','','Positive'
'1274387721990045697','In Arizona we are seeing tremendous government overreach The universal mask policies cross the line The leaders who','','','Positive'
'1274387721998553093','Florida Governor Ripped For Trying To Pin COVID 19 Spike On Hispanic Workers','Acworth, Georgia','','Neutral'
'1274387722078044165','Trump is a Major Tard','Edna Valley, California. Ranch','','Positive'
'1274387722099179520','It s like we have two parallel federal governments Each one just pretends the other doesn t exist','Manhattan, NY','','Negative'
'1274387722363437057','A little wake up call for all of you not wearing masks My cousin checked into the hospital Tuesday morning for body a','','','Negative'
'1274387722497597440','Don t just blame Trump blame the Republicans who could ve removed him and still could Blam','Michigan, USA','','Neutral'
'1274387722485092353','We abandoned national testing We abandoned contact tracing We have made not wearing a mask a symbol of freedom World renow','New York, NY','','Neutral'
'1274387722392801283','Mickeyy please can you repost it i will be soon without my asthma meds','','','Neutral'
'1274387722593943552','Friday s statewide case count of 600 is the highest to date The virus that causes COVID 19 isn t going anywhere but you','Ogden, Utah','','Neutral'
'1274387722430558216','Stay home Wear your masks Wash your hands','Irmo, SC','','Neutral'
'1274387722547924994','Turn off MSM and LOOK at the evidence Viruses are dead There is no pandemic amp if there w','','','Negative'
'1274387722581532672','Coronavirus can survive for 20 years in temperatures of minus 20 degrees Celsius','Jackson Heights, Queens NY','','Negative'
'1274387722526957569','If a friend of yours literally dying from the virus isn t enough to convince you it s a thing I m not sure there s anything t','Music City, USA','','Negative'
'1274387722489167872','W H O Warns of Dangerous Phase of Pandemic as Outbreaks Widen','#LakerGang #CowboysNation','','Negative'
'1274387722682204166','Florida reports more than 4 000 new coronavirus cases a record for a single day','United States','','Positive'
'1274387722501791747','shares the story of Elise a refugee from Venezuela who now serves as a facilitator for IsraAID in Colombia work','Chicago, IL','','Neutral'
'1274387722635931648','Oh you have to be fucking kidding me','','','Negative'
'1274387722728345600','if u say blm but u are partying ignoring COVID bc it s more convenient for u id like to remind you that COVID will dispro','','','Positive'
'1274387722807934980','Just this week Mike Pence bragged that the federal response was success because new cases dropped from 30 000 to 20 000 a day','Dallas, TX','','Positive'
'1274387723067879424','Businesses and labor groups clash over who should be held liable in coronavirus related lawsuits','','','Negative'
'1274387723210506241','Just remember if you loot riot and pull down statues you can t catch COVID but if you go to the Trump rally tomo','','','Negative'
'1274387723231657986','New state slogan Come to South Carolina for warm beaches and rampant Covid','Made in NY, refined in SC','','Positive'
'1274387723273502721','I can t believe people are still arguing about wearing masks My mother died of COVID last Sunday My father is going to fo','Garrett, IN','','Neutral'
'1274387723290390528','P S You can choose to not wear a mask but it wouldn t be cool if you infected your children a vulnerable senior citizen','','','Negative'
'1274387723323916289','It has now got to a situation where almost nothing the UK government says on COVID19 can be believed','','','Neutral'
'1274387723323953152','Someone save us','New York, NY','','Neutral'
'1274387723466522627','Written AGAIN to my MP Focussing on the lies of HMRC Breaking of Ministe','','','Neutral'
'1274387723525201921','and i do not care about someone s advice that is not based on HARD SCIENCE eve','','','Negative'
'1274387723634311169','No excuse These data are an incredibly damning indictment of Trump s leadership','Central Texas','','Positive'
'1274387724007608320','Here is our 10 week old Lockdown pond lots of larvae in the water so hopefully some exciting arrivals s','Peak District, UK','','Positive'
'1274387724166787072','RESUS If you think wearing a mask cuts off your oxygen just wait until you find out what COVID does','Sinaloa, México','','Neutral'
'1274387724099821568','Coronavirus live update Total cases Total New cases 8 832 385 Total deaths 81 395 New deaths 464 227 Tot','In a galaxy far far away','','Positive'
'1274387724146016257','Why So that they can carry the covid from slums into buildings','','','Neutral'
'1274387724276043781','Four states report record highs in coronavirus cases Florida and Arizona hit hard','','','Negative'
'1274387724355670018','nope dont see it','Spalding, UK ','','Neutral'
'1274387724468969477','At least two Buccaneers players now have tested positive for COVID 19 per sources Earlier this week one Buccaneers co','Columbus, OH','','Negative'
'1274387724477304834','Trump is going to incite division Now','at the corner of Godwin & Poe','','Neutral'
'1274387726821806080','It can take up to 14 days from time of exposure for you to test positive for COVID 19 If you have been in large gather','','','Positive'
'1274387726759059456','BREAKING NEWS Florida sets new daily record with 4 049 coronavirus cases as death toll rises by 40','','','Positive'
'1274387726780051460','Someone should get him Shake Shack','Toronto, Ontario, Canada','','Neutral'
'1274387726956142593','This special session confronted us with the most difficult issues we ve faced Police reform COVID amp rebuilding our st','Minnesota, USA','','Positive'
'1274387727044263940','Entha character Vijay MobileNumber LastDigit Quarantine Lockdown','Bengaluru, India','','Neutral'
'1274387727446732800','I can t believe people are still arguing about wearing masks My mother died of COVID last Sunday My father is going to fo','Los Angeles, CA','','Neutral'
'1274387727333625856','There are only two Black Women here Can y all stop this BS Calling biracial women biracial won t give you COVID 19','','','Negative'
'1274387727287451649','I hope twitter can get these people off and prevent them coming back or they catch Covid and die','','','Neutral'
'1274387727522435073','I can t believe people are still arguing about wearing masks My mother died of COVID last Sunday My father is going to fo','Ireland','','Neutral'
'1274387727539154945','Coronavirus deaths and hospitalizations steadily declining despite increased of cases Rather than focus on test results i','','','Positive'
'1274387727816015872','Gadkari exuded confidence that India will overcome the economic challenges and become super power','India','','Positive'
'1274387727954464768','Global pandemic What global pandemic','monteedinburgh','','Neutral'
'1274387727962816512','A global pandemic update June 20th With Brazil s gt 55 000 cases yesterday and the US new peak since end of April these 2 co','','','Positive'
'1274387728076017669','We re months into this pandemic and still don t have proper testing PPE or clear nationwide guidance Instead Donald Trump','Middlesex Centre, Ontario','','Positive'
'1274387728113819657','Covid infections in Oklahoma have been surging Organizing a mask optional indoor rally for thousands of people here is repre','Design.Co','','Neutral'
'1274387728327557120','Govt has put out a strong advisory to citizens warning them of a potential cyber offensive from Chinese Army In the guise','Delhi NCR ','','Positive'
'1274387728361238532','Milano Trump knows exactly what he s doing This rally will inflict pain amp division when we should be celebrating liberation H','Nah fam','','Positive'
'1274387728302575617','fab Lack of taste is a symptom of covid 19','','','Neutral'
'1274387728562610181','i am in no way an antivaxxers but this gives me pause in 1932 the Tuskegee Study injected syphilis in black me','floating thru twitter space','','Negative'
'1274387728680079363','Check how Covid has changed your dates to register to vote','Meriden, CT','','Neutral'
'1274387728717746177','You cant make this shit up','United States','','Negative'
'1274387728780734469','As lockdown measures are lifted is it safer to drive or fly to France','','','Positive'
'1274387728881385478','Oklahoma emergency room Dr Samantha White says it s a terrible idea to hold the planned Trump rally in Tulsa because coronavi','','','Negative'
'1274387728566751233','Here is the 6 20 statewide COVID 19 update on daily cases and deaths since this began in early March The yellow li','Moore Monthly magazine','','Positive'
'1274387729086910469','MPs urge government to explore four day working week for post Covid 19 society Except for Boris Johnson who prefers a 3','NI UK','','Neutral'
'1274387728931581952','Running straight towards a cliff and off the edge because you know gravity is real but maybe not and what are fac','Bellingham, WA','','Positive'
'1274387729111904257','Breaking In major reversal Navy has decided to fire carrier captain Crozier who warned about spread of coronavirus aboard','Tacoma, WA','','Positive'
'1274387728633823234','9 years ago today you were in the press box at with this march towards darkness amp the relentless storm T','Nebraska','','Neutral'
'1274387730953310208','I can t Time to log off twitter until the Covidpalooza is over','','','Neutral'
'1274387731343446016','USA Refugees fled their homes to escape life threatening situations but now are extremely vulnerable to COVID 19 Our teams are r','','','Negative'
'1274387731301437441','Using impacted as a verb You either love it or hate it','','','Negative'
'1274387731515412481','fun fact if you wear a mask to prevent the spread of coronavirus in 3 years you are required to become a salafi muslim ht','BLACK LIVES MATTER','','Positive'
'1274387731406192640','ThinningTheHerd We don t even need protesters out there We can sit back and wait for two weeks and watch him ki','','','Neutral'
'1274387731481837570','Developers claim government technology unit was hostile to other groups hampering the fight against the disease','St Andrews, Scotland','','Negative'
'1274387731599069187','Amid COVID 19 World Governments Let s focus on providing adequate facilities to our front line workers Kashmir G','Jammu And Kashmir','','Positive'
'1274387731691560961','cinnamonro11 if you can t afford to tip AT LEAST 20 during a fucking PANDEMIC you cannot afford to be eating out servers are risk','','','Negative'
